_id,Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
1,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
2,01/07/2018,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",1
3,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
4,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
5,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,6
6,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
7,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,5
8,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,3
9,01/07/2019,ADELAIDE,5000,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
10,01/07/2019,ADELAIDE AIRPORT,5950,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11,01/07/2019,ALBERTON,5014,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
12,01/07/2019,ANDREWS FARM,5114,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",2
13,01/07/2019,ANDREWS FARM,5114,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
14,01/07/2019,ANGASTON,5353,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",1
15,01/07/2019,ANGLE VALE,5117,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16,01/07/2019,ATHOL PARK,5012,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
17,01/07/2019,BANKSIA PARK,5091,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1
18,01/07/2019,BASKET RANGE,5138,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
19,01/07/2019,BERRI,5343,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
20,01/07/2019,BERRI,5343,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
21,01/07/2019,BEVERLEY,5009,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
22,01/07/2019,BEVERLEY,5009,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
23,01/07/2019,BIRKENHEAD,5015,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
24,01/07/2019,BLAIR ATHOL,5084,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
25,01/07/2019,BLAIR ATHOL,5084,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
26,01/07/2019,BLAKEVIEW,5114,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
27,01/07/2019,BLANCHETOWN,5357,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
28,01/07/2019,BOORS PLAIN,5554,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
29,01/07/2019,BOWDEN,5007,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,2
30,01/07/2019,BRIGHTON,5048,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",1
31,01/07/2019,BURNSIDE,5066,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
32,01/07/2019,CAMBRAI,5353,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
33,01/07/2019,CAMDEN PARK,5038,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
34,01/07/2019,CAMPBELLTOWN,5074,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
35,01/07/2019,CHRISTIE DOWNS,5164,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
36,01/07/2019,CHRISTIE DOWNS,5164,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
37,01/07/2019,CHRISTIES BEACH,5165,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
38,01/07/2019,CLARENCE GARDENS,5039,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
39,01/07/2019,CLEARVIEW,5085,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
40,01/07/2019,CLEARVIEW,5085,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
41,01/07/2019,COLLINSWOOD,5081,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
42,01/07/2019,COOBER PEDY,5723,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
43,01/07/2019,COWANDILLA,5033,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
44,01/07/2019,CRAIGMORE,5114,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
45,01/07/2019,CRAIGMORE,5114,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
46,01/07/2019,CROYDON PARK,5008,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
47,01/07/2019,DAVOREN PARK,5113,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
48,01/07/2019,DAVOREN PARK,5113,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
49,01/07/2019,DAW PARK,5041,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
50,01/07/2019,DOVER GARDENS,5048,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
51,01/07/2019,DOVER GARDENS,5048,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
52,01/07/2019,DOVER GARDENS,5048,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1
53,01/07/2019,DULWICH,5065,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
54,01/07/2019,EDEN HILLS,5050,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
55,01/07/2019,EDWARDSTOWN,5039,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
56,01/07/2019,EDWARDSTOWN,5039,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
57,01/07/2019,ELIZABETH DOWNS,5113,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
58,01/07/2019,ELIZABETH DOWNS,5113,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
59,01/07/2019,ELIZABETH DOWNS,5113,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
60,01/07/2019,ELIZABETH DOWNS,5113,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
61,01/07/2019,ELIZABETH EAST,5112,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
62,01/07/2019,ELIZABETH GROVE,5112,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
63,01/07/2019,ELIZABETH GROVE,5112,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
64,01/07/2019,ELIZABETH NORTH,5113,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
65,01/07/2019,ELIZABETH NORTH,5113,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
66,01/07/2019,ELIZABETH NORTH,5113,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
67,01/07/2019,ELIZABETH NORTH,5113,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
68,01/07/2019,ELIZABETH NORTH,5113,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
69,01/07/2019,ENFIELD,5085,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
70,01/07/2019,ERINDALE,5066,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
71,01/07/2019,ERINDALE,5066,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
72,01/07/2019,EVERARD PARK,5035,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
73,01/07/2019,EYRE,5121,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
74,01/07/2019,FELIXSTOW,5070,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
75,01/07/2019,FERRYDEN PARK,5010,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
76,01/07/2019,FERRYDEN PARK,5010,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
77,01/07/2019,FERRYDEN PARK,5010,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
78,01/07/2019,FERRYDEN PARK,5010,OFFENCES AGAINST THE PERSON,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,1
79,01/07/2019,FINDON,5023,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1
80,01/07/2019,FINDON,5023,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
81,01/07/2019,FLINDERS PARK,5025,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
82,01/07/2019,FLINDERS PARK,5025,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
83,01/07/2019,FLINDERS PARK,5025,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
84,01/07/2019,FREELING,5372,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
85,01/07/2019,FREWVILLE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
86,01/07/2019,FREWVILLE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
87,01/07/2019,FULHAM GARDENS,5024,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
88,01/07/2019,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
89,01/07/2019,GAWLER,5118,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
90,01/07/2019,GAWLER,5118,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,2
91,01/07/2019,GEPPS CROSS,5094,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,4
92,01/07/2019,GEPPS CROSS,5094,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
93,01/07/2019,GILLES PLAINS,5086,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
94,01/07/2019,GLENELG,5045,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,2
95,01/07/2019,GLENELG,5045,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
96,01/07/2019,GLENELG EAST,5045,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
97,01/07/2019,GLENELG NORTH,5045,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
98,01/07/2019,GLENELG NORTH,5045,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
99,01/07/2019,GLENSIDE,5065,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
100,01/07/2019,GOLDEN GROVE,5125,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
